         Basket	              -
              -	              -
             of	              -
              -	              -
        tablets	              -

       accounts	              -
             of	              -
              ,	              -

          Lugal	              -
              -	              -
              ,	              -

            are	              -
           here	              -
              ;	              -

             of	              -
            the	              -
           bala	              -
              ;	              -

              5	              -
          years	              -
              ;	              -

           from	              -	         O
            the	              -	         O
           year	              -	         O
              :	              -	         O
            The	              -	      B-A1
             en	              -	      I-A1
             of	              -	      I-A1
          Eridu	              -	      E-A1
            was	              -	         O
          hired	          hired	         O

             to	              -	         O
            the	              -	         O
           year	              -	         O
              :	              -	         O
        Simanum	              -	      S-A1
            was	              -	         O
      destroyed	      destroyed	       S-V
              .	              -	         O

         Basket	              -
              -	              -
             of	              -
              -	              -
        tablets	              -

    inspections	              -
             of	              -

       orchards	              -	      S-A1
       surveyed	       surveyed	       S-V
              ,	              -	         O

           date	              -	      B-A1
          palms	              -	      E-A1
        counted	        counted	       S-V
              ,	              -	         O

          house	              -
             of	              -
            ara	              -
              ;	              -

          house	              -
             of	              -
         Ninura	              -
              ;	              -

          house	              -
             of	              -
           ulgi	              -
              ;	              -

       orchards	              -
             of	              -
              ,	              -

       orchards	              -
             of	              -
        various	              -
        shrines	              -
              ,	              -

    inspections	              -
             of	              -
      fishermen	              -
            and	              -
           bird	              -
              -	              -
        hunters	              -
              ;	              -

        potters	              -
              ,	              -

            and	              -
    inspections	              -
             of	              -
       exchange	              -
         agents	              -
              ;	              -

            the	              -
        tablets	              -
          being	              -
             12	              -
              ,	              -

            are	              -
           here	              -
              ;	              -

           year	              -	         O
              :	              -	         O
            The	              -	      B-A1
             en	              -	      I-A1
             of	              -	      I-A1
          Eridu	              -	      E-A1
            was	              -	         O
          hired	          hired	       S-V
              .	              -	         O

              .	              -

              1	              -
            1/2	              -
          ninda	              -
           less	              -
              1	              -
           fist	              -
              ,	              -
            the	              -
         length	              -
              ;	              -

             11	              -
         cubits	              -
              ,	              -
            the	              -
          width	              -
              ;	              -

              1	              -
          ninda	              -
              2	              -
         cubits	              -
              2	              -
          fists	              -
              ,	              -
            the	              -
         length	              -
              ;	              -

              4	              -
         cubits	              -
              1	              -
           open	              -
              -	              -
           hand	              -
              ,	              -
            the	              -
          width	              -
              ;	              -

              1	              -
          ninda	              -
              5	              -
         cubits	              -
              1	              -
           fist	              -
            the	              -
         length	              -
              ;	              -

              4	              -
         cubits	              -
              1	              -
           open	              -
              -	              -
           hand	              -
              ,	              -
            the	              -
          width	              -
              ;	              -

              1	              -	      S-A0
        running	        running	       S-V
          ninda	              -	      B-A1
              2	              -	      I-A1
         cubits	              -	      I-A1
            the	              -	      I-A1
         length	              -	      E-A1
              ;	              -	         O

              5	              -
         cubits	              -
            the	              -
          width	              -
              ;	              -

             11	              -
         cubits	              -
            the	              -
         length	              -
              ;	              -

              6	              -
         cubits	              -
            the	              -
          width	              -
              ;	              -

              n	              -
            the	              -
         length	              -
              ;	              -

              n	              -
            the	              -
          width	              -
              ;	              -

             10	              -
         cubits	              -
            the	              -
         length	              -
              ;	              -

              n	              -
            the	              -
          width	              -
              ;	              -

              n	              -
            the	              -
         length	              -
              ;	              -

              n	              -
            the	              -
          width	              -
              ;	              -

              n	              -
            the	              -
         length	              -
              ;	              -

              3	              -
         cubits	              -
            the	              -
          width	              -
              ;	              -

              1	              -
            1/3	              -
           mana	              -
              ,	              -
              3	              -
            1/3	              -
        shekels	              -
              ,	              -
              1	              -
          grain	              -
             of	              -
         silver	              -
              ,	              -

            the	              -
      remainder	              -
              ;	              -

             10	              -
        talents	              -
             of	              -
           wool	              -
            the	              -
          first	              -
           time	              -
              ,	              -

              3	              -
        talents	              -
             of	              -
           wool	              -
            the	              -
         second	              -
           time	              -
              ,	              -

            its	              -
         silver	              -
              :	              -
              1	              -
            1/3	              -
           mana	              -
              ,	              -
              3	              -
            1/3	              -
        shekels	              -
              ;	              -

              7	              -	      B-A0
        talents	              -	      I-A0
             of	              -	      I-A0
           wool	              -	      E-A0
        weighed	        weighed	       B-V
            out	              -	       E-V
             by	              -	  B-AM-MNR
          stone	              -	  E-AM-MNR
              ,	              -	         O

            its	              -
         silver	              -
              :	              -
            1/2	              -
           mana	              -
              ,	              -
              3	              -
            1/3	              -
        shekels	              -
              ;	              -

              5	              -
        shekels	              -
             of	              -
         silver	              -
            via	              -
         Lugina	              -
              ;	              -

              2	              -
        shekels	              -
             of	              -
         silver	              -
            via	              -
             Ur	              -
              -	              -
         Nungal	              -
              ;	              -

             60	              -
            gur	              -
           lard	              -
              -	              -
         grains	              -
              ,	              -

            its	              -
         silver	              -
              :	              -
              1	              -
           mana	              -
              ;	              -

          total	              -
              :	              -
              4	              -
            1/3	              -
           mana	              -
              ,	              -
              7	              -
        shekels	              -
              ,	              -
              1	              -
          grain	              -
         silver	              -
              ,	              -

            the	              -
          debit	              -
              .	              -

      Therefrom	              -

              4	              -
          barig	              -
              ,	              -
              1	              -
           ban2	              -
              ,	              -
              4	              -
            1/2	              -
          sila3	              -
             of	              -
             EA	              -
              -	              -
        bitumen	              -
              ,	              -

            its	              -
         silver	              -
              :	              -
              2	              -
        shekels	              -
             21	              -
         grains	              -
              ;	              -

              2	              -
        talents	              -
              ,	              -
             14	              -
           mana	              -
             of	              -
         gypsum	              -
              ,	              -

            its	              -
         silver	              -
              :	              -
             27	              -
         grains	              -
              ;	              -

              4	              -
           ban2	              -
              ,	              -
              1	              -
          sila3	              -
             of	              -
         horned	              -
         alkali	              -
              -	              -
          plant	              -
              ,	              -

            its	              -
         silver	              -
              :	              -
              6	              -
         grains	              -
              ;	              -

         nigdab	              -
             of	              -
            the	              -
          craft	              -
       workshop	              -
           with	              -
          Abuni	              -
              ,	              -

            via	              -
        Ursagku	              -
              .	              -

              2	              -
            gur	              -
              ,	              -
              2	              -
          barig	              -
              ,	              -
              3	              -
           ban2	              -
             of	              -
         horned	              -
         alkali	              -
              -	              -
          plant	              -
              ,	              -

            its	              -
         silver	              -
              :	              -
            1/2	              -
         shekel	              -
              ,	              -
             22	              -
            1/2	              -
         grains	              -
              ;	              -

             10	              -
        talents	              -
             of	              -
         gypsum	              -
              ,	              -

            its	              -
         silver	              -
              :	              -
            2/3	              -
         shekel	              -
              ;	              -

         nigdab	              -
             of	              -
            the	              -
          craft	              -
       workshop	              -
           with	              -
          Puzri	              -
              -	              -
          Enlil	              -
              ,	              -

            via	              -
              E	              -
              -	              -
      Iluruguda	              -
              .	              -

              2	              -
           ban2	              -
             of	              -
       chickpea	              -
          flour	              -
              ,	              -

            its	              -
         silver	              -
              :	              -
             24	              -
         grains	              -
              ;	              -

         nigdab	              -
             of	              -
            the	              -
          craft	              -
       workshop	              -
           with	              -
